ProjectKey,SprintState,nb_tickets_sprint,sprint_velocity,sprint_completion_rate,nb_bugs_sprint,nb_delayed_sprint,avg_lead_time_sprint,avg_cycle_time_sprint,nb_blocked_sprint,scope_change_count
CMIG,No Sprint,120,64,53.3,0,120,6553.92,0.0,7,73
DL,Sprint 16,18,0,0.0,0,18,3738.57,3648.81,0,16
DO,DO Sprint 4,6,5,83.3,0,6,11513.32,3450.28,1,5
NEOB,NEOB Sprint 36,4,0,0.0,0,4,6835.92,0.0,1,2
FDAI,FDAI Sprint 5,6,2,33.3,0,6,19253.28,1668.48,0,3
NEOB,NEOB Sprint 1,3,2,66.7,0,3,18471.92,0.0,0,2
FDAI,FDAI Sprint 9,7,4,57.1,0,7,12469.68,1822.3,0,4
CSCCP25,CROSS Sprint 7,5,0,0.0,0,5,2613.64,2561.89,0,5
PG,PG Sprint 6,7,3,42.9,0,7,21775.95,2182.4,1,3
APG,No Sprint,100,57,57.0,0,100,19744.85,2510.38,10,59
DL,Sprint 20,20,0,0.0,0,20,2453.14,2367.62,0,19
MBC,SPRINT 13 STAB TEST & FIX 2,1,0,0.0,0,1,8546.02,8460.45,0,1
DL,Sprint 19,19,0,0.0,0,19,2740.41,2656.16,0,17
NEOB,NEOB Sprint 26,3,2,66.7,0,3,10239.92,0.0,0,1
DO,DO Sprint 2,6,3,50.0,0,6,28059.96,3118.34,1,3
NEOB,NEOB Sprint 10,3,2,66.7,0,3,15511.92,0.0,0,2
DL,Sprint 12,6,0,0.0,0,6,5163.57,4859.61,0,5
NEOB,NEOB Sprint 30,2,2,100.0,0,2,8791.92,0.0,0,2
NEOB,NEOB Sprint 33,3,1,33.3,0,3,7767.92,0.0,0,1
PG,PG Sprint 8,8,6,75.0,0,8,10531.98,1877.73,0,5
NEOB,NEOB Sprint 28,3,1,33.3,0,3,9407.92,0.0,0,2
NEOB,NEOB Sprint 42,5,2,40.0,0,5,4788.72,0.0,0,1
NEOB,NEOB Sprint 23,3,1,33.3,0,3,11167.92,0.0,1,2
DL,Sprint 9,10,0,0.0,0,10,8733.72,7666.03,0,5
NEOB,NEOB Sprint 37,2,1,50.0,0,2,6403.92,0.0,0,1
FDAI,FDAI Sprint 15,6,3,50.0,0,6,12087.96,461.72,1,4
NEOB,NEOB Sprint 7,4,1,25.0,0,4,16609.92,0.0,0,1
DL,Sprint 13,34,0,0.0,0,34,4874.5,4564.09,0,22
DO,DO Sprint 13,4,2,50.0,0,4,24351.96,426.77,0,1
DL,No Sprint,145,0,0.0,0,19,8630.46,7160.76,0,66
NEOB,NEOB Sprint 19,4,2,50.0,0,4,12505.92,0.0,0,2
NEOB,NEOB Sprint 22,4,3,75.0,0,4,11497.92,0.0,0,4
DO,DO Sprint 6,7,2,28.6,0,7,36873.09,1835.94,0,2
RIDIDP25,No Sprint,21,0,0.0,0,2,9038.61,3895.16,0,3
